================================================================================
VALIDATION PERPLEXITY COMPARISON TABLE
================================================================================
 Validation Step  Baseline  Prenorm  Postnorm
             500     56.61    44.75     41.55
            1000     49.93    30.88     30.23
            1500     45.33    26.45     27.05
            2000     35.25    23.68     24.84
            2500     28.44    21.85     23.54
            3000     25.79    20.32     22.45
            3500     23.77    19.22     21.42
            4000     22.40    18.13     20.63
            4500     21.26    17.27     20.04
            5000     19.87    16.15     19.55
            5500     18.80    14.83     18.86
            6000     17.61    13.59     18.39
            6500     16.55    13.04     17.88
            7000     15.42    12.29     17.71
            7500     14.26    11.78     17.25
            8000     13.30    11.37     16.73
            8500     12.62    11.06     16.20
            9000     12.25    10.96     16.05
            9500     11.83    10.75     15.52
           10000     11.48    10.57     14.98
           10500     11.19    10.38     14.31
           11000     10.82    10.23     13.74
           11500     10.69     9.97     13.22
           12000     10.58     9.88     12.69
           12500     10.41     9.69     12.41
           13000     10.24     9.69     12.06
           13500     10.05     9.44     11.54
           14000      9.97     9.44     11.36
           14500      9.84     9.22     11.14
           15000      9.75     9.18     10.87
           15500      9.60     9.26     10.77
           16000      9.41     9.01     10.44
           16500      9.42     9.08     10.50
           17000      9.41     8.95     10.34
           17500      9.30     8.92     10.21
           18000      9.22     8.93     10.13
           18500      9.25     8.86     10.12
           19000      9.12     8.82      9.98
           19500      8.97     8.63      9.82
           20000      8.92     8.60      9.66
           20500      8.92     8.63      9.61
           21000      8.95     8.69      9.69
           21500      8.92     8.54      9.62
           22000      8.86     8.52      9.47
           22500      8.81     8.62      9.52
           23000      8.75     8.49      9.38
           23500      8.70     8.43      9.43
           24000      8.66     8.40      9.38
           24500      8.59     8.36      9.23
           25000      8.68     8.36      9.27
           25500      8.63     8.37      9.15
           26000      8.57     8.29      9.07
           26500      8.65     8.30      9.08
           27000      8.55     8.32      9.08
           27500      8.53     8.27      9.04
           28000      8.42     8.24      8.90
           28500      8.41     8.16      8.88
           29000      8.38     8.16      8.88
           29500      8.44     8.25      8.88
           30000      8.44     8.11      8.87
           30500      8.39     8.09      8.81
           31000      8.34     8.04      8.73
           31500      8.39     8.09      8.70
           32000      8.23     8.02      8.63
           32500      8.19     8.02      8.59
           33000      8.33     8.10      8.59
           33500      8.33     8.08      8.59
           34000      8.33     8.06      8.64
           34500      8.27     8.04      8.65
           35000      8.24     7.98      8.54
           35500      8.20     7.95      8.47
           36000      8.12     7.91      8.51
           36500      8.11     7.89      8.43
           37000      8.25     7.96      8.48
           37500      8.27     7.97      8.56
           38000      8.13     7.87      8.38
           38500      8.23     7.91      8.41
           39000      8.10     7.86      8.38
           39500      8.11     7.87      8.38
           40000      8.15     7.89      8.37
           40500      8.01     7.80      8.34
================================================================================
